date,fx_twd_per_usd_mid,qqq_price_usd,twd_contribution,fx_oneway_spread,commission_usd,usd_after_fx_and_fee,shares_bought,total_shares,portfolio_value_twd
2015-01-02,31.625,94.78443145751953,10000.0,0.001,3.0,312.8893280632411,3.3010624556362065,3.3010624556362065,9895.125
2015-02-02,31.54599952697754,93.9004898071289,10000.0,0.001,3.0,313.6804079692178,3.3405619993411713,6.641624454977378,19673.71905459033
2015-03-02,31.49799919128418,100.7142105102539,10000.0,0.001,3.0,314.16300261904684,3.1193512914154384,9.760975746392816,30964.70549943656
2015-04-01,31.392000198364258,96.94971466064453,10000.0,0.001,3.0,315.2339429432263,3.2515200694158555,13.012495815808672,39602.82133807316
2015-05-01,30.740999221801758,100.64128112792969,10000.0,0.001,3.0,321.9731711035279,3.1992157442258033,16.211711560034473,50156.01280938986
2015-06-01,30.86199951171875,101.90563201904297,10000.0,0.001,3.0,320.6990524935577,3.147019905961911,19.358731465996385,60883.43435615677
2015-07-01,31.058000564575195,99.82746124267578,10000.0,0.001,3.0,318.65625018999486,3.192070059914243,22.55080152591063,69917.43747324675
2015-08-03,31.674999237060547,103.2315444946289,10000.0,0.001,3.0,312.39069425805855,3.02611663699667,25.576918162907297,83632.91842866038
2015-09-01,32.79800033569336,93.47267150878906,10000.0,0.001,3.0,301.5917402814372,3.22652316889305,28.803441331800347,88303.19144028467
2015-10-01,33.1150016784668,94.78495788574219,10000.0,0.001,3.0,298.6759623628843,3.1510903103730974,31.954531642173443,100299.01299813771
2015-11-02,32.400001525878906,106.2737808227539,10000.0,0.001,3.0,305.3333188123671,2.8730823016601783,34.82761394383362,119920.90127910329
2015-12-01,32.821998596191406,106.78377532958984,10000.0,0.001,3.0,301.36903379671764,2.8222361764840893,37.64985012031771,131957.33788039544
2016-01-04,32.058998107910156,101.84557342529297,10000.0,0.001,3.0,308.6129819894494,3.0302051587526977,40.68005527907041,132823.10791059432
2016-02-01,32.79899978637695,97.1113510131836,10000.0,0.001,3.0,301.5824587659939,3.1055325213738594,43.78558780044427,139463.89184167844
2016-03-01,32.39099884033203,98.39488983154297,10000.0,0.001,3.0,305.41901632131317,3.1040129913678034,46.88960079181207,149442.25755034012
2016-04-01,32.270999908447266,102.94993591308594,10000.0,0.001,3.0,306.56586496673793,2.9778150151113443,49.86741580692342,165674.3845050089
2016-05-02,31.260000228881836,99.5543212890625,10000.0,0.001,3.0,316.57773278485166,3.179949686620307,53.04736549354372,165087.01427475602
2016-06-01,32.619998931884766,102.94058990478516,10000.0,0.001,3.0,303.2538420329367,2.945911251464861,55.993276745008586,188021.05206813896
2016-07-01,32.2760009765625,101.09156799316406,10000.0,0.001,3.0,306.51789867816416,3.032081752841061,59.025358497849645,192589.80179568144
2016-08-01,30.840999603271484,108.34976196289062,10000.0,0.001,3.0,320.91946203132477,2.961884329208203,61.98724282705785,207137.49831412465
2016-09-01,31.714000701904297,109.19158935546875,10000.0,0.001,3.0,312.0028308916617,2.8573888587329677,64.84463168579082,224550.6139269996
2016-10-03,31.30699920654297,111.16236114501953,10000.0,0.001,3.0,316.0979733986179,2.843570162982097,67.6882018487729,235565.76930813122
